#,Date-Time (UTC Standard Time),Ch: 1 - Temperature Avg : Avg (°C ),Water Detect,Host Connected,End of File
1,05/13/2022 08:47:11,,In,,
2,05/13/2022 09:00:00,16.685,,,
3,05/13/2022 09:05:00,16.707,,,
4,05/13/2022 09:10:00,16.707,,,
5,05/13/2022 09:15:00,16.696,,,
6,05/13/2022 09:20:00,16.739,,,
7,05/13/2022 09:25:00,16.771,,,
8,05/13/2022 09:30:00,16.793,,,
9,05/13/2022 09:35:00,16.814,,,
10,05/13/2022 09:40:00,16.900,,,
11,05/13/2022 09:45:00,16.943,,,
12,05/13/2022 09:50:00,16.986,,,
13,05/13/2022 09:55:00,16.986,,,
14,05/13/2022 10:00:00,16.986,,,
15,05/13/2022 10:05:00,16.986,,,
16,05/13/2022 10:10:00,17.072,,,
17,05/13/2022 10:15:00,17.050,,,
18,05/13/2022 10:20:00,17.061,,,
19,05/13/2022 10:25:00,17.082,,,
20,05/13/2022 10:30:00,17.136,,,
21,05/13/2022 10:35:00,17.168,,,
22,05/13/2022 10:40:00,17.179,,,
23,05/13/2022 10:45:00,17.179,,,
24,05/13/2022 10:50:00,17.211,,,
25,05/13/2022 10:55:00,17.222,,,
26,05/13/2022 11:00:00,17.211,,,
27,05/13/2022 11:05:00,17.211,,,
28,05/13/2022 11:10:00,17.232,,,
29,05/13/2022 11:15:00,17.275,,,
30,05/13/2022 11:20:00,17.275,,,
31,05/13/2022 11:25:00,17.275,,,
32,05/13/2022 11:30:00,17.318,,,
33,05/13/2022 11:35:00,17.308,,,
34,05/13/2022 11:40:00,17.350,,,
35,05/13/2022 11:45:00,17.501,,,
36,05/13/2022 11:50:00,17.543,,,
37,05/13/2022 11:55:00,17.522,,,
38,05/13/2022 12:00:00,17.490,,,
39,05/13/2022 12:05:00,17.511,,,
40,05/13/2022 12:10:00,17.511,,,
41,05/13/2022 12:15:00,17.522,,,
42,05/13/2022 12:20:00,17.501,,,
43,05/13/2022 12:25:00,17.426,,,
44,05/13/2022 12:30:00,17.436,,,
45,05/13/2022 12:35:00,17.426,,,
46,05/13/2022 12:40:00,17.468,,,
47,05/13/2022 12:45:00,17.436,,,
48,05/13/2022 12:50:00,17.415,,,
49,05/13/2022 12:55:00,17.415,,,
50,05/13/2022 13:00:00,17.393,,,
51,05/13/2022 13:05:00,17.404,,,
52,05/13/2022 13:10:00,17.415,,,
53,05/13/2022 13:15:00,17.404,,,
54,05/13/2022 13:20:00,17.361,,,
55,05/13/2022 13:25:00,17.222,,,
56,05/13/2022 13:30:00,17.039,,,
57,05/13/2022 13:35:00,16.975,,,
58,05/13/2022 13:40:00,16.857,,,
59,05/13/2022 13:45:00,16.825,,,
60,05/13/2022 13:50:00,16.728,,,
61,05/13/2022 13:55:00,16.846,,,
62,05/13/2022 14:00:00,17.050,,,
63,05/13/2022 14:05:00,17.039,,,
64,05/13/2022 14:10:00,17.061,,,
65,05/13/2022 14:15:00,17.157,,,
66,05/13/2022 14:20:00,17.211,,,
67,05/13/2022 14:25:00,17.232,,,
68,05/13/2022 14:30:00,17.232,,,
69,05/13/2022 14:35:00,17.275,,,
70,05/13/2022 14:40:00,17.286,,,
71,05/13/2022 14:45:00,17.308,,,
72,05/13/2022 14:50:00,17.361,,,
73,05/13/2022 14:55:00,17.404,,,
74,05/13/2022 15:00:00,17.479,,,
75,05/13/2022 15:05:00,17.533,,,
76,05/13/2022 15:10:00,17.522,,,
77,05/13/2022 15:15:00,17.554,,,
78,05/13/2022 15:20:00,17.576,,,
79,05/13/2022 15:25:00,17.576,,,
80,05/13/2022 15:30:00,17.554,,,
81,05/13/2022 15:35:00,17.565,,,
82,05/13/2022 15:40:00,17.554,,,
83,05/13/2022 15:45:00,17.522,,,
84,05/13/2022 15:50:00,17.533,,,
85,05/13/2022 15:55:00,17.511,,,
86,05/13/2022 16:00:00,17.522,,,
87,05/13/2022 16:05:00,17.468,,,
88,05/13/2022 16:10:00,17.447,,,
89,05/13/2022 16:15:00,17.436,,,
90,05/13/2022 16:20:00,17.393,,,
91,05/13/2022 16:25:00,17.426,,,
92,05/13/2022 16:30:00,17.404,,,
93,05/13/2022 16:35:00,17.404,,,
94,05/13/2022 16:40:00,17.329,,,
95,05/13/2022 16:45:00,17.329,,,
96,05/13/2022 16:50:00,17.329,,,
97,05/13/2022 16:55:00,17.361,,,
98,05/13/2022 17:00:00,17.340,,,
99,05/13/2022 17:05:00,17.372,,,
100,05/13/2022 17:10:00,17.361,,,
101,05/13/2022 17:15:00,17.350,,,
102,05/13/2022 17:20:00,17.393,,,
103,05/13/2022 17:25:00,17.426,,,
104,05/13/2022 17:30:00,17.426,,,
105,05/13/2022 17:35:00,17.404,,,
106,05/13/2022 17:40:00,17.383,,,
107,05/13/2022 17:45:00,17.383,,,
108,05/13/2022 17:50:00,17.340,,,
109,05/13/2022 17:55:00,17.340,,,
110,05/13/2022 18:00:00,17.329,,,
111,05/13/2022 18:05:00,17.297,,,
112,05/13/2022 18:10:00,17.340,,,
113,05/13/2022 18:15:00,17.318,,,
114,05/13/2022 18:20:00,17.308,,,
115,05/13/2022 18:25:00,17.286,,,
116,05/13/2022 18:30:00,17.286,,,
117,05/13/2022 18:35:00,17.286,,,
118,05/13/2022 18:40:00,17.286,,,
119,05/13/2022 18:45:00,17.275,,,
120,05/13/2022 18:50:00,17.265,,,
121,05/13/2022 18:55:00,17.243,,,
122,05/13/2022 19:00:00,17.265,,,
123,05/13/2022 19:05:00,17.243,,,
124,05/13/2022 19:10:00,17.243,,,
125,05/13/2022 19:15:00,17.254,,,
126,05/13/2022 19:20:00,17.243,,,
127,05/13/2022 19:25:00,17.222,,,
128,05/13/2022 19:30:00,17.222,,,
129,05/13/2022 19:35:00,17.232,,,
130,05/13/2022 19:40:00,17.232,,,
