#,Date-Time (UTC Standard Time),Ch: 1 - Temperature Avg : Avg (°C ),Water Detect,Host Connected,End of File
1,05/13/2022 08:46:37,,In,,
2,05/13/2022 09:00:00,16.632,,,
3,05/13/2022 09:05:00,16.632,,,
4,05/13/2022 09:10:00,16.653,,,
5,05/13/2022 09:15:00,16.653,,,
6,05/13/2022 09:20:00,16.664,,,
7,05/13/2022 09:25:00,16.685,,,
8,05/13/2022 09:30:00,16.718,,,
9,05/13/2022 09:35:00,16.739,,,
10,05/13/2022 09:40:00,16.803,,,
11,05/13/2022 09:45:00,16.814,,,
12,05/13/2022 09:50:00,16.868,,,
13,05/13/2022 09:55:00,16.857,,,
14,05/13/2022 10:00:00,16.900,,,
15,05/13/2022 10:05:00,16.900,,,
16,05/13/2022 10:10:00,16.964,,,
17,05/13/2022 10:15:00,16.954,,,
18,05/13/2022 10:20:00,16.997,,,
19,05/13/2022 10:25:00,17.007,,,
20,05/13/2022 10:30:00,17.050,,,
21,05/13/2022 10:35:00,17.104,,,
22,05/13/2022 10:40:00,17.093,,,
23,05/13/2022 10:45:00,17.104,,,
24,05/13/2022 10:50:00,17.114,,,
25,05/13/2022 10:55:00,17.136,,,
26,05/13/2022 11:00:00,17.125,,,
27,05/13/2022 11:05:00,17.136,,,
28,05/13/2022 11:10:00,17.125,,,
29,05/13/2022 11:15:00,17.190,,,
30,05/13/2022 11:20:00,17.179,,,
31,05/13/2022 11:25:00,17.190,,,
32,05/13/2022 11:30:00,17.232,,,
33,05/13/2022 11:35:00,17.232,,,
34,05/13/2022 11:40:00,17.275,,,
35,05/13/2022 11:45:00,17.404,,,
36,05/13/2022 11:50:00,17.490,,,
37,05/13/2022 11:55:00,17.458,,,
38,05/13/2022 12:00:00,17.458,,,
39,05/13/2022 12:05:00,17.458,,,
40,05/13/2022 12:10:00,17.436,,,
41,05/13/2022 12:15:00,17.447,,,
42,05/13/2022 12:20:00,17.447,,,
43,05/13/2022 12:25:00,17.404,,,
44,05/13/2022 12:30:00,17.436,,,
45,05/13/2022 12:35:00,17.404,,,
46,05/13/2022 12:40:00,17.415,,,
47,05/13/2022 12:45:00,17.415,,,
48,05/13/2022 12:50:00,17.393,,,
49,05/13/2022 12:55:00,17.383,,,
50,05/13/2022 13:00:00,17.372,,,
51,05/13/2022 13:05:00,17.340,,,
52,05/13/2022 13:10:00,17.350,,,
53,05/13/2022 13:15:00,17.308,,,
54,05/13/2022 13:20:00,17.275,,,
55,05/13/2022 13:25:00,17.179,,,
56,05/13/2022 13:30:00,17.039,,,
57,05/13/2022 13:35:00,16.964,,,
58,05/13/2022 13:40:00,16.857,,,
59,05/13/2022 13:45:00,16.707,,,
60,05/13/2022 13:50:00,16.632,,,
61,05/13/2022 13:55:00,16.685,,,
62,05/13/2022 14:00:00,16.803,,,
63,05/13/2022 14:05:00,16.846,,,
64,05/13/2022 14:10:00,16.975,,,
65,05/13/2022 14:15:00,17.082,,,
66,05/13/2022 14:20:00,17.147,,,
67,05/13/2022 14:25:00,17.168,,,
68,05/13/2022 14:30:00,17.157,,,
69,05/13/2022 14:35:00,17.157,,,
70,05/13/2022 14:40:00,17.147,,,
71,05/13/2022 14:45:00,17.200,,,
72,05/13/2022 14:50:00,17.265,,,
73,05/13/2022 14:55:00,17.340,,,
74,05/13/2022 15:00:00,17.415,,,
75,05/13/2022 15:05:00,17.479,,,
76,05/13/2022 15:10:00,17.468,,,
77,05/13/2022 15:15:00,17.501,,,
78,05/13/2022 15:20:00,17.511,,,
79,05/13/2022 15:25:00,17.490,,,
80,05/13/2022 15:30:00,17.490,,,
81,05/13/2022 15:35:00,17.501,,,
82,05/13/2022 15:40:00,17.490,,,
83,05/13/2022 15:45:00,17.468,,,
84,05/13/2022 15:50:00,17.479,,,
85,05/13/2022 15:55:00,17.468,,,
86,05/13/2022 16:00:00,17.468,,,
87,05/13/2022 16:05:00,17.426,,,
88,05/13/2022 16:10:00,17.426,,,
89,05/13/2022 16:15:00,17.426,,,
90,05/13/2022 16:20:00,17.372,,,
91,05/13/2022 16:25:00,17.329,,,
92,05/13/2022 16:30:00,17.340,,,
93,05/13/2022 16:35:00,17.340,,,
94,05/13/2022 16:40:00,17.232,,,
95,05/13/2022 16:45:00,17.254,,,
96,05/13/2022 16:50:00,17.265,,,
97,05/13/2022 16:55:00,17.265,,,
98,05/13/2022 17:00:00,17.275,,,
99,05/13/2022 17:05:00,17.297,,,
100,05/13/2022 17:10:00,17.318,,,
101,05/13/2022 17:15:00,17.318,,,
102,05/13/2022 17:20:00,17.340,,,
103,05/13/2022 17:25:00,17.361,,,
104,05/13/2022 17:30:00,17.361,,,
105,05/13/2022 17:35:00,17.340,,,
106,05/13/2022 17:40:00,17.350,,,
107,05/13/2022 17:45:00,17.318,,,
108,05/13/2022 17:50:00,17.275,,,
109,05/13/2022 17:55:00,17.232,,,
110,05/13/2022 18:00:00,17.211,,,
111,05/13/2022 18:05:00,17.211,,,
112,05/13/2022 18:10:00,17.275,,,
113,05/13/2022 18:15:00,17.222,,,
114,05/13/2022 18:20:00,17.211,,,
115,05/13/2022 18:25:00,17.222,,,
116,05/13/2022 18:30:00,17.254,,,
117,05/13/2022 18:35:00,17.254,,,
118,05/13/2022 18:40:00,17.254,,,
119,05/13/2022 18:45:00,17.243,,,
120,05/13/2022 18:50:00,17.222,,,
121,05/13/2022 18:55:00,17.222,,,
122,05/13/2022 19:00:00,17.211,,,
123,05/13/2022 19:05:00,17.232,,,
124,05/13/2022 19:10:00,17.211,,,
125,05/13/2022 19:15:00,17.211,,,
126,05/13/2022 19:20:00,17.211,,,
127,05/13/2022 19:25:00,17.200,,,
128,05/13/2022 19:30:00,17.190,,,
129,05/13/2022 19:35:00,17.179,,,
130,05/13/2022 19:40:00,17.200,,,
131,05/13/2022 19:45:00,17.179,,,
132,05/13/2022 19:50:00,17.190,,,
133,05/13/2022 19:55:00,17.190,,,
134,05/13/2022 20:00:00,17.179,,,
135,05/13/2022 20:05:00,17.190,,,
136,05/13/2022 20:10:00,17.168,,,
137,05/13/2022 20:15:00,17.168,,,
138,05/13/2022 20:20:00,17.179,,,
139,05/13/2022 20:25:00,17.179,,,
140,05/13/2022 20:30:00,17.190,,,
141,05/13/2022 20:35:00,17.179,,,
142,05/13/2022 20:40:00,17.190,,,
143,05/13/2022 20:45:00,17.179,,,
144,05/13/2022 20:50:00,17.168,,,
145,05/13/2022 20:55:00,17.168,,,
146,05/13/2022 21:00:00,17.168,,,
147,05/13/2022 21:05:00,17.147,,,
148,05/13/2022 21:10:00,17.157,,,
149,05/13/2022 21:15:00,17.147,,,
150,05/13/2022 21:20:00,17.136,,,
151,05/13/2022 21:25:00,17.147,,,
152,05/13/2022 21:30:00,17.157,,,
153,05/13/2022 21:35:00,17.147,,,
154,05/13/2022 21:40:00,17.125,,,
155,05/13/2022 21:45:00,17.104,,,
156,05/13/2022 21:50:00,17.136,,,
157,05/13/2022 21:55:00,17.136,,,
158,05/13/2022 22:00:00,17.114,,,
159,05/13/2022 22:05:00,17.125,,,
160,05/13/2022 22:10:00,17.125,,,
161,05/13/2022 22:15:00,17.114,,,
162,05/13/2022 22:20:00,17.104,,,
163,05/13/2022 22:25:00,17.125,,,
164,05/13/2022 22:30:00,17.114,,,
165,05/13/2022 22:35:00,17.093,,,
166,05/13/2022 22:40:00,17.093,,,
167,05/13/2022 22:45:00,17.104,,,
168,05/13/2022 22:50:00,17.093,,,
169,05/13/2022 22:55:00,17.093,,,
170,05/13/2022 23:00:00,17.104,,,
171,05/13/2022 23:05:00,17.104,,,
172,05/13/2022 23:10:00,17.093,,,
173,05/13/2022 23:15:00,17.104,,,
174,05/13/2022 23:20:00,17.082,,,
175,05/13/2022 23:25:00,17.082,,,
176,05/13/2022 23:30:00,17.050,,,
177,05/13/2022 23:35:00,17.061,,,
178,05/13/2022 23:40:00,17.072,,,
179,05/13/2022 23:45:00,17.061,,,
180,05/13/2022 23:50:00,17.050,,,
181,05/13/2022 23:55:00,17.050,,,
182,05/14/2022 00:00:00,17.061,,,
183,05/14/2022 00:05:00,17.061,,,
184,05/14/2022 00:10:00,17.039,,,
185,05/14/2022 00:15:00,17.039,,,
186,05/14/2022 00:20:00,17.039,,,
187,05/14/2022 00:25:00,17.029,,,
188,05/14/2022 00:30:00,17.029,,,
189,05/14/2022 00:35:00,17.029,,,
190,05/14/2022 00:40:00,17.018,,,
191,05/14/2022 00:45:00,17.029,,,
192,05/14/2022 00:50:00,17.007,,,
193,05/14/2022 00:55:00,17.007,,,
194,05/14/2022 01:00:00,17.007,,,
195,05/14/2022 01:05:00,17.018,,,
196,05/14/2022 01:10:00,17.018,,,
197,05/14/2022 01:15:00,17.007,,,
198,05/14/2022 01:20:00,17.007,,,
199,05/14/2022 01:25:00,16.997,,,
200,05/14/2022 01:30:00,16.986,,,
201,05/14/2022 01:35:00,17.007,,,
202,05/14/2022 01:40:00,16.997,,,
203,05/14/2022 01:45:00,16.964,,,
204,05/14/2022 01:50:00,16.986,,,
205,05/14/2022 01:55:00,16.986,,,
206,05/14/2022 02:00:00,16.975,,,
207,05/14/2022 02:05:00,16.975,,,
208,05/14/2022 02:10:00,16.986,,,
209,05/14/2022 02:15:00,16.964,,,
210,05/14/2022 02:20:00,16.964,,,
211,05/14/2022 02:25:00,16.954,,,
212,05/14/2022 02:30:00,16.954,,,
213,05/14/2022 02:35:00,16.964,,,
214,05/14/2022 02:40:00,16.964,,,
215,05/14/2022 02:45:00,16.975,,,
216,05/14/2022 02:50:00,16.964,,,
217,05/14/2022 02:55:00,16.943,,,
218,05/14/2022 03:00:00,16.954,,,
219,05/14/2022 03:05:00,16.954,,,
220,05/14/2022 03:10:00,16.964,,,
221,05/14/2022 03:15:00,16.932,,,
222,05/14/2022 03:20:00,16.964,,,
223,05/14/2022 03:25:00,16.986,,,
224,05/14/2022 03:30:00,16.975,,,
225,05/14/2022 03:35:00,16.986,,,
226,05/14/2022 03:40:00,16.975,,,
227,05/14/2022 03:45:00,16.975,,,
228,05/14/2022 03:50:00,16.964,,,
229,05/14/2022 03:55:00,16.954,,,
230,05/14/2022 04:00:00,16.964,,,
231,05/14/2022 04:05:00,16.954,,,
232,05/14/2022 04:10:00,16.954,,,
233,05/14/2022 04:15:00,16.943,,,
234,05/14/2022 04:20:00,16.943,,,
235,05/14/2022 04:25:00,16.943,,,
236,05/14/2022 04:30:00,16.932,,,
237,05/14/2022 04:35:00,16.921,,,
238,05/14/2022 04:40:00,16.943,,,
239,05/14/2022 04:45:00,16.932,,,
240,05/14/2022 04:50:00,16.932,,,
241,05/14/2022 04:55:00,16.921,,,
242,05/14/2022 05:00:00,16.921,,,
243,05/14/2022 05:05:00,16.932,,,
244,05/14/2022 05:10:00,16.911,,,
245,05/14/2022 05:15:00,16.921,,,
246,05/14/2022 05:20:00,16.911,,,
247,05/14/2022 05:25:00,16.921,,,
248,05/14/2022 05:30:00,16.911,,,
249,05/14/2022 05:35:00,16.911,,,
250,05/14/2022 05:40:00,16.911,,,
251,05/14/2022 05:45:00,16.900,,,
252,05/14/2022 05:50:00,16.911,,,
253,05/14/2022 05:55:00,16.911,,,
254,05/14/2022 06:00:00,16.911,,,
255,05/14/2022 06:05:00,16.911,,,
256,05/14/2022 06:10:00,16.921,,,
257,05/14/2022 06:15:00,16.911,,,
258,05/14/2022 06:20:00,16.921,,,
259,05/14/2022 06:25:00,16.911,,,
260,05/14/2022 06:30:00,16.932,,,
261,05/14/2022 06:35:00,16.932,,,
262,05/14/2022 06:40:00,16.921,,,
263,05/14/2022 06:45:00,16.921,,,
264,05/14/2022 06:50:00,16.943,,,
265,05/14/2022 06:55:00,16.943,,,
266,05/14/2022 07:00:00,16.943,,,
267,05/14/2022 07:05:00,16.964,,,
268,05/14/2022 07:10:00,16.975,,,
269,05/14/2022 07:15:00,16.986,,,
270,05/14/2022 07:20:00,16.997,,,
271,05/14/2022 07:25:00,17.007,,,
272,05/14/2022 07:30:00,17.029,,,
273,05/14/2022 07:35:00,17.029,,,
274,05/14/2022 07:40:00,17.050,,,
275,05/14/2022 07:45:00,17.061,,,
276,05/14/2022 07:50:00,17.114,,,
277,05/14/2022 07:55:00,17.168,,,
278,05/14/2022 08:00:00,17.211,,,
279,05/14/2022 08:05:00,17.243,,,
280,05/14/2022 08:10:00,17.243,,,
281,05/14/2022 08:15:00,17.211,,,
282,05/14/2022 08:20:00,17.232,,,
283,05/14/2022 08:25:00,17.275,,,
284,05/14/2022 08:30:00,17.275,,,
285,05/14/2022 08:35:00,17.308,,,
286,05/14/2022 08:40:00,17.329,,,
287,05/14/2022 08:45:00,17.350,,,
288,05/14/2022 08:50:00,17.361,,,
289,05/14/2022 08:55:00,17.372,,,
290,05/14/2022 09:00:00,17.383,,,
291,05/14/2022 09:05:00,17.436,,,
292,05/14/2022 09:10:00,17.436,,,
293,05/14/2022 09:15:00,17.458,,,
