 

stn;time;pva200s0;gre000z0;tre200s0;fkl010z0
LUZ;202201010000;7.0;0;2.3;0.8
LUZ;202201010010;6.9;0;2.2;0.1
LUZ;202201010020;7.0;0;2.6;0.4
LUZ;202201010030;7.0;0;2.6;0.8
LUZ;202201010040;6.9;0;2.4;0.7
LUZ;202201010050;6.6;0;1.8;0.6
LUZ;202201010100;6.8;0;2.3;0.4
LUZ;202201010110;6.9;0;2.3;0.6
LUZ;202201010120;6.9;0;2.3;0.9
LUZ;202201010130;7.0;0;2.7;1.0
LUZ;202201010140;7.0;0;2.5;0.5
LUZ;202201010150;6.9;0;2.3;0.5
LUZ;202201010200;6.8;0;1.9;0.4
LUZ;202201010210;6.8;0;2.1;1.2
LUZ;202201010220;6.8;0;2.3;0.9
LUZ;202201010230;6.7;0;1.8;1.3
LUZ;202201010240;6.8;0;2.4;0.9
LUZ;202201010250;6.8;0;2.5;2.0
LUZ;202201010300;6.8;0;2.0;1.0
LUZ;202201010310;6.6;0;1.7;0.5
LUZ;202201010320;6.7;0;2.5;0.2
LUZ;202201010330;6.2;0;0.6;0.2
LUZ;202201010340;6.4;0;1.3;0.2
LUZ;202201010350;6.6;0;1.8;0.4
LUZ;202201010400;6.6;0;1.5;0.4
LUZ;202201010410;6.5;0;1.4;1.3
LUZ;202201010420;6.3;0;1.3;0.5
LUZ;202201010430;6.4;0;1.3;0.4
LUZ;202201010440;6.3;0;0.9;1.0
LUZ;202201010450;6.4;0;1.3;0.4
LUZ;202201010500;6.2;0;0.7;0.8
LUZ;202201010510;6.2;0;0.9;0.5
LUZ;202201010520;6.3;0;0.9;0.5
LUZ;202201010530;6.1;0;0.4;0.5
LUZ;202201010540;6.2;0;0.7;0.7
LUZ;202201010550;6.3;0;0.9;0.9
LUZ;202201010600;6.0;0;0.5;0.7
LUZ;202201010610;6.3;0;1.3;0.7
LUZ;202201010620;6.5;0;1.3;1.0
LUZ;202201010630;6.0;0;0.2;0.6
LUZ;202201010640;6.1;0;0.6;0.7
LUZ;202201010650;6.2;0;1.0;0.7
LUZ;202201010700;6.3;0;1.1;1.0
LUZ;202201010710;6.3;1;1.1;0.6
LUZ;202201010720;6.3;4;1.1;0.6
LUZ;202201010730;6.4;9;1.1;0.5
LUZ;202201010740;6.2;13;0.8;0.3
LUZ;202201010750;6.3;17;1.2;0.2
LUZ;202201010800;6.5;35;1.5;0.2
LUZ;202201010810;6.3;46;0.9;0.8
LUZ;202201010820;6.3;52;1.0;1.0
LUZ;202201010830;6.5;68;1.8;0.9
LUZ;202201010840;6.7;117;2.2;1.5
LUZ;202201010850;6.8;154;2.7;1.6
LUZ;202201010900;6.9;182;3.0;1.1
LUZ;202201010910;6.8;203;2.5;0.4
LUZ;202201010920;7.3;226;3.5;0.3
LUZ;202201010930;7.5;244;4.4;0.3
LUZ;202201010940;7.4;263;5.0;0.6
LUZ;202201010950;7.3;264;5.4;0.4
LUZ;202201011000;7.5;274;5.6;0.6
LUZ;202201011010;7.7;289;6.5;0.7
LUZ;202201011020;7.4;306;6.5;0.4
LUZ;202201011030;7.3;318;6.8;0.5
LUZ;202201011040;7.6;327;7.2;0.7
LUZ;202201011050;7.7;333;7.4;1.0
LUZ;202201011100;7.5;334;7.3;0.8
LUZ;202201011110;7.3;338;7.4;0.7
LUZ;202201011120;7.5;353;8.3;0.5
LUZ;202201011130;7.8;330;8.5;0.4
LUZ;202201011140;7.4;312;8.6;0.6
LUZ;202201011150;7.9;325;8.9;0.6
LUZ;202201011200;7.8;307;9.0;0.9
LUZ;202201011210;7.8;325;9.0;1.8
LUZ;202201011220;7.8;320;8.9;1.8
LUZ;202201011230;8.0;316;9.0;1.1
LUZ;202201011240;7.8;333;9.0;1.1
LUZ;202201011250;7.9;324;9.2;1.1
LUZ;202201011300;7.6;299;9.4;0.6
LUZ;202201011310;7.9;288;9.7;0.6
LUZ;202201011320;7.8;281;9.7;0.9
LUZ;202201011330;7.5;264;9.9;1.2
