#,Date-Time (UTC Standard Time),Ch: 1 - Temperature Avg : Avg (°C ),Host Connected,End of File
1,05/13/2022 09:00:00,9.789,,
2,05/13/2022 09:05:00,9.800,,
3,05/13/2022 09:10:00,9.800,,
4,05/13/2022 09:15:00,9.832,,
5,05/13/2022 09:20:00,9.843,,
6,05/13/2022 09:25:00,9.864,,
7,05/13/2022 09:30:00,9.929,,
8,05/13/2022 09:35:00,9.961,,
9,05/13/2022 09:40:00,10.004,,
10,05/13/2022 09:45:00,10.047,,
11,05/13/2022 09:50:00,10.079,,
12,05/13/2022 09:55:00,10.143,,
13,05/13/2022 10:00:00,10.208,,
14,05/13/2022 10:05:00,10.272,,
15,05/13/2022 10:10:00,10.325,,
16,05/13/2022 10:15:00,10.390,,
17,05/13/2022 10:20:00,10.443,,
18,05/13/2022 10:25:00,10.476,,
19,05/13/2022 10:30:00,10.529,,
20,05/13/2022 10:35:00,10.551,,
21,05/13/2022 10:40:00,10.561,,
22,05/13/2022 10:45:00,10.583,,
23,05/13/2022 10:50:00,10.615,,
24,05/13/2022 10:55:00,10.647,,
25,05/13/2022 11:00:00,10.679,,
26,05/13/2022 11:05:00,10.712,,
27,05/13/2022 11:10:00,10.733,,
28,05/13/2022 11:15:00,10.754,,
29,05/13/2022 11:20:00,10.819,,
30,05/13/2022 11:25:00,10.830,,
31,05/13/2022 11:30:00,10.862,,
32,05/13/2022 11:35:00,10.883,,
33,05/13/2022 11:40:00,10.905,,
34,05/13/2022 11:45:00,10.926,,
35,05/13/2022 11:50:00,10.926,,
36,05/13/2022 11:55:00,10.937,,
37,05/13/2022 12:00:00,10.948,,
38,05/13/2022 12:05:00,10.958,,
39,05/13/2022 12:10:00,10.958,,
40,05/13/2022 12:15:00,10.969,,
41,05/13/2022 12:20:00,10.980,,
42,05/13/2022 12:25:00,11.012,,
43,05/13/2022 12:30:00,11.001,,
44,05/13/2022 12:35:00,11.012,,
45,05/13/2022 12:40:00,11.023,,
46,05/13/2022 12:45:00,11.033,,
47,05/13/2022 12:50:00,11.023,,
48,05/13/2022 12:55:00,11.033,,
49,05/13/2022 13:00:00,11.066,,
50,05/13/2022 13:05:00,11.087,,
51,05/13/2022 13:10:00,11.087,,
52,05/13/2022 13:15:00,11.076,,
