#,Date-Time (UTC Standard Time),Ch: 1 - Temperature Avg : Avg (°C ),Host Connected,End of File
1,05/13/2022 09:00:00,9.896,,
2,05/13/2022 09:05:00,9.907,,
3,05/13/2022 09:10:00,9.950,,
4,05/13/2022 09:15:00,9.950,,
5,05/13/2022 09:20:00,10.111,,
6,05/13/2022 09:25:00,10.336,,
7,05/13/2022 09:30:00,10.411,,
8,05/13/2022 09:35:00,10.422,,
9,05/13/2022 09:40:00,10.336,,
10,05/13/2022 09:45:00,10.476,,
11,05/13/2022 09:50:00,10.626,,
12,05/13/2022 09:55:00,10.658,,
13,05/13/2022 10:00:00,10.583,,
14,05/13/2022 10:05:00,10.604,,
15,05/13/2022 10:10:00,10.754,,
16,05/13/2022 10:15:00,10.830,,
17,05/13/2022 10:20:00,10.733,,
18,05/13/2022 10:25:00,10.679,,
19,05/13/2022 10:30:00,10.679,,
20,05/13/2022 10:35:00,10.658,,
21,05/13/2022 10:40:00,10.669,,
22,05/13/2022 10:45:00,10.744,,
23,05/13/2022 10:50:00,10.851,,
24,05/13/2022 10:55:00,10.862,,
25,05/13/2022 11:00:00,10.915,,
26,05/13/2022 11:05:00,11.033,,
27,05/13/2022 11:10:00,11.033,,
28,05/13/2022 11:15:00,11.162,,
29,05/13/2022 11:20:00,11.076,,
30,05/13/2022 11:25:00,11.012,,
31,05/13/2022 11:30:00,11.001,,
32,05/13/2022 11:35:00,10.969,,
33,05/13/2022 11:40:00,10.980,,
34,05/13/2022 11:45:00,10.969,,
35,05/13/2022 11:50:00,10.948,,
36,05/13/2022 11:55:00,10.980,,
37,05/13/2022 12:00:00,11.001,,
38,05/13/2022 12:05:00,11.023,,
39,05/13/2022 12:10:00,11.076,,
40,05/13/2022 12:15:00,11.087,,
41,05/13/2022 12:20:00,11.130,,
42,05/13/2022 12:25:00,11.184,,
43,05/13/2022 12:30:00,11.205,,
44,05/13/2022 12:35:00,11.216,,
45,05/13/2022 12:40:00,11.194,,
46,05/13/2022 12:45:00,11.151,,
47,05/13/2022 12:50:00,11.162,,
48,05/13/2022 12:55:00,11.162,,
49,05/13/2022 13:00:00,11.162,,
50,05/13/2022 13:05:00,11.141,,
51,05/13/2022 13:10:00,11.130,,
52,05/13/2022 13:15:00,11.130,,
53,05/13/2022 13:20:00,11.173,,
54,05/13/2022 13:25:00,11.162,,
55,05/13/2022 13:30:00,11.151,,
56,05/13/2022 13:35:00,11.108,,
57,05/13/2022 13:40:00,11.130,,
58,05/13/2022 13:45:00,11.119,,
59,05/13/2022 13:50:00,11.151,,
60,05/13/2022 13:55:00,11.173,,
61,05/13/2022 14:00:00,11.173,,
62,05/13/2022 14:05:00,11.173,,
63,05/13/2022 14:10:00,11.184,,
64,05/13/2022 14:15:00,11.194,,
65,05/13/2022 14:20:00,11.205,,
66,05/13/2022 14:25:00,11.237,,
67,05/13/2022 14:30:00,11.323,,
68,05/13/2022 14:35:00,11.452,,
69,05/13/2022 14:40:00,11.473,,
70,05/13/2022 14:45:00,11.473,,
71,05/13/2022 14:50:00,11.462,,
72,05/13/2022 14:55:00,11.473,,
73,05/13/2022 15:00:00,11.366,,
74,05/13/2022 15:05:00,11.323,,
75,05/13/2022 15:10:00,11.344,,
76,05/13/2022 15:15:00,11.377,,
77,05/13/2022 15:20:00,11.387,,
78,05/13/2022 15:25:00,11.419,,
79,05/13/2022 15:30:00,11.462,,
80,05/13/2022 15:35:00,11.505,,
81,05/13/2022 15:40:00,11.548,,
82,05/13/2022 15:45:00,11.537,,
83,05/13/2022 15:50:00,11.505,,
84,05/13/2022 15:55:00,11.430,,
85,05/13/2022 16:00:00,11.398,,
86,05/13/2022 16:05:00,11.377,,
87,05/13/2022 16:10:00,11.355,,
88,05/13/2022 16:15:00,11.355,,
89,05/13/2022 16:20:00,11.355,,
90,05/13/2022 16:25:00,11.344,,
91,05/13/2022 16:30:00,11.334,,
92,05/13/2022 16:35:00,11.301,,
93,05/13/2022 16:40:00,11.291,,
94,05/13/2022 16:45:00,11.280,,
95,05/13/2022 16:50:00,11.280,,
96,05/13/2022 16:55:00,11.259,,
97,05/13/2022 17:00:00,11.237,,
98,05/13/2022 17:05:00,11.237,,
99,05/13/2022 17:10:00,11.237,,
100,05/13/2022 17:15:00,11.226,,
101,05/13/2022 17:20:00,11.216,,
102,05/13/2022 17:25:00,11.162,,
103,05/13/2022 17:30:00,11.162,,
104,05/13/2022 17:35:00,11.141,,
105,05/13/2022 17:40:00,11.108,,
106,05/13/2022 17:45:00,11.098,,
107,05/13/2022 17:50:00,11.055,,
108,05/13/2022 17:55:00,11.033,,
109,05/13/2022 18:00:00,11.001,,
110,05/13/2022 18:05:00,10.980,,
111,05/13/2022 18:10:00,10.969,,
112,05/13/2022 18:15:00,10.937,,
113,05/13/2022 18:20:00,10.926,,
114,05/13/2022 18:25:00,10.894,,
115,05/13/2022 18:30:00,10.872,,
116,05/13/2022 18:35:00,10.840,,
117,05/13/2022 18:40:00,10.797,,
118,05/13/2022 18:45:00,10.776,,
119,05/13/2022 18:50:00,10.765,,
120,05/13/2022 18:55:00,10.722,,
121,05/13/2022 19:00:00,10.733,,
122,05/13/2022 19:05:00,10.690,,
123,05/13/2022 19:10:00,10.647,,
124,05/13/2022 19:15:00,10.647,,
125,05/13/2022 19:20:00,10.626,,
126,05/13/2022 19:25:00,10.604,,
127,05/13/2022 19:30:00,10.583,,
128,05/13/2022 19:35:00,10.572,,
129,05/13/2022 19:40:00,10.540,,
130,05/13/2022 19:45:00,10.540,,
131,05/13/2022 19:50:00,10.508,,
132,05/13/2022 19:55:00,10.486,,
133,05/13/2022 20:00:00,10.454,,
134,05/13/2022 20:05:00,10.443,,
135,05/13/2022 20:10:00,10.411,,
136,05/13/2022 20:15:00,10.422,,
137,05/13/2022 20:20:00,10.390,,
138,05/13/2022 20:25:00,10.358,,
139,05/13/2022 20:30:00,10.336,,
140,05/13/2022 20:35:00,10.325,,
141,05/13/2022 20:40:00,10.315,,
142,05/13/2022 20:45:00,10.325,,
143,05/13/2022 20:50:00,10.304,,
144,05/13/2022 20:55:00,10.250,,
145,05/13/2022 21:00:00,10.218,,
